id,name,abbreviation,country
1,Alabama,AL,USA
2,Alaska,AK,USA
3,Arizona,AZ,USA
4,Arkansas,AR,USA
5,California,CA,USA
6,Colorado,CO,USA
7,Connecticut,CT,USA
8,Delaware,DE,USA
9,Florida,FL,USA
10,Georgia,GA,USA
11,Hawaii,HI,USA
12,Idaho,ID,USA
13,Illinois,IL,USA
14,Indiana,IN,USA
15,Iowa,IA,USA
16,Kansas,KS,USA
17,Kentucky,KY,USA
18,Louisiana,LA,USA
19,Maine,ME,USA
20,Maryland,MD,USA
21,Massachusetts,MA,USA
22,Michigan,MI,USA
23,Minnesota,MN,USA
24,Mississippi,MS,USA
25,Missouri,MO,USA
26,Montana,MT,USA
27,Nebraska,NE,USA
28,Nevada,NV,USA
29,New Hampshire,NH,USA
30,New Jersey,NJ,USA
31,New Mexico,NM,USA
32,New York,NY,USA
33,North Carolina,NC,USA
34,North Dakota,ND,USA
35,Ohio,OH,USA
36,Oklahoma,OK,USA
37,Oregon,OR,USA
38,Pennsylvania,PA,USA
39,Rhode Island,RI,USA
40,South Carolina,SC,USA
41,South Dakota,SD,USA
42,Tennessee,TN,USA
43,Texas,TX,USA
44,Utah,UT,USA
45,Vermont,VT,USA
46,Virginia,VA,USA
47,Washington,WA,USA
48,West Virginia,WV,USA
49,Wisconsin,WI,USA
50,Wyoming,WY,USA
51,Washington DC,DC,USA
52,Puerto Rico,PR,USA
53,U.S. Virgin Islands,VI,USA
54,American Samoa,AS,USA
55,Guam,GU,USA
56,Northern Mariana Islands,MP,USA
84,Armed Forces Americas,AA,USA
85,Armed Forces Europe,AE,USA
86,Armed Forces Pacific,AP,USA
